סוג,שם,זמן הכנה (דק'),מספיק ל- (ימים),פעיל,הערה / לבדיקה
פחמימה,אורז לבן,25,,כן,
פחמימה,אורז צהוב,30,,כן,
פחמימה,קוסקוס,15,,כן,
פחמימה,פתיתים,20,,כן,
פחמימה,פסטה,15,,כן,
פחמימה,אטריות אורז,10,,כן,
פחמימה,"תפו""א ובטטה בתנור",45,,כן,
פחמימה,צ'יפס,30,,כן,
פחמימה,פולנטה,25,,כן,
פחמימה,פירה,25,,כן,
ירק / תוספת,ברוקולי מוקפץ בשום,15,,כן,
ירק / תוספת,שעועית ירוקה ברוטב אדום,25,,כן,
ירק / תוספת,אפונה ברוטב אדום,20,,כן,
ירק / תוספת,סלט קייסר,15,,כן,
ירק / תוספת,סלט בוראטה,10,,כן,
ירק / תוספת,קרפצ'יו סלק,15,,כן,
ירק / תוספת,סלט חסה ברוטב ירוק,10,,כן,
ירק / תוספת,"סלט מלפפון, עגבנייה ובצל סגול",10,,כן,
ירק / תוספת,בוק צ'וי מוקפץ,10,,כן,
